id;nama_supplier;alamat;no.hp;;;;;;;
1;MEPRO;Cinambo, Bandung;6287812348722;;;;;;;
2;PROMED;Sukabumi, Jawa Barat;6287818178182;;;;;;;
3;GUARDIAN;Citeureup, Bogor;6285891722171;;;;;;;
4;OTTO;Jakarta Selatan;6285253456474;;;;;;;
5;SDM;Senen, Jakarta;6284293143199;;;;;;;
6;NULAB;Tangerang, Banten;6283332829923;;;;;;;
7;INFION;Pasuruan, Jawa Timur;6282372516648;;;;;;;
8;PYRIDAM;Cianjur, Jawa Barat;6281412203372;;;;;;;
9;CORONET;Sidoarjo, Jawa Timur;6280451890097;;;;;;;
10;LANSOND;Cikarang, Bekasi;6279491576821;;;;;;;
